Creation	Duration	State	Label	
00:52.128.029	994.21 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:52.130.957	1.15 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:52.132.947	1.20 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:52.134.874	1.34 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:52.136.967	1.03 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:52.139.529	1.20 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:52.232.510	5.75 ms	Active	text_model_md4_mubb_main__Op0_AneInference Prediction	
00:52.456.414	13.18 ms	Active	Neural Engine Prediction	
00:52.471.120	7.89 ms	Active	Neural Engine Prediction	
00:52.480.939	6.03 ms	Active	Neural Engine Prediction	
00:52.750.917	8.88 ms	Active	Neural Engine Prediction	
00:52.760.115	10.70 ms	Active	Neural Engine Prediction	
00:52.772.880	6.94 ms	Active	Neural Engine Prediction	
00:52.809.362	2.25 ms	Active	text_model_md4_mubb_main__Op0_AneInference Prediction	
00:52.831.178	4.27 ms	Active	text_model_md4_mubb_main__Op0_AneInference Prediction	
00:53.006.869	179.83 ms	Active	Neural Engine Prediction	
00:53.209.766	175.16 ms	Active	Neural Engine Prediction	
00:53.409.147	175.40 ms	Active	Neural Engine Prediction	
00:53.609.749	176.53 ms	Active	Neural Engine Prediction	
00:53.813.127	256.63 ms	Active	decoder_main__Op0_AneInference Prediction	
00:54.073.333	106.71 ms	Active	decoder_alpha_emoji_main__Op0_AneInference Prediction	
00:54.152.395	13.98 ms	Active	Neural Engine Prediction	
00:54.171.804	8.39 ms	Active	Neural Engine Prediction	
00:54.172.380	7.87 ms	Active	Neural Engine Prediction	
